A1,A2,A3,A4,A5,A6,RS1,RS2,RS3,RS4,RS5,RS6
34.161752,24.651251,26.978996,32.43257,28.708178,35.491892,2.40246406570843,5.23613963039014,4.37371663244353,4.6817248459959,3.94250513347023,4.58932238193019
28.575164,24.717758,39.016763,37.354088,28.575164,31.035923,4.06570841889117,5.32854209445585,2.89527720739219,6.28336755646818,4.86652977412731,2.92607802874744
22.855562,26.513447,24.651251,39.08327,18.931649,39.814847,2.86447638603696,3.72689938398357,5.54314720812183,4.53807106598985,4.0507614213198,6.67005076142132
,23.653646,,,,35.558399,3.48049281314168,3.48049281314168,4.5989847715736,7.24873096446701,6.94416243654822,6.18274111675127
,29.77229,,,,36.090455,,,4.41624365482234,,3.95939086294417,6.39593908629442
