14.64,0.59,1,5.11,7.11,3.95,34.09,54.2,6.8,4.91,2380,1365,2869,1015,489,1504,71,0.325,1.744,0.83
16.09,0.98,0.87,5.55,6.32,4.34,33.96,54.29,6.82,4.94,1575,933,2162,642,587,1229,73.7,0.478,1.688,0.728
21.06,2.25,3.25,5.71,7.89,4.34,31.95,54.76,7.53,5.75,3358,1887,3576,1471,218,1689,78.5,0.129,1.779,0.939
26.26,2.12,4.26,5.76,7.56,4.78,32.8,54.21,7.41,5.58,3676,2368,4205,1308,529,1837,78,0.288,1.552,0.874
27.31,2.63,12.86,6.1,6.67,4.89,32.12,54.67,7.55,5.66,3698,2455,4445,1243,747,1990,78.1,0.375,1.506,0.832
25.36,2.32,13.19,6.63,7.89,5.53,31.32,55.44,7.47,5.27,3563,2402,4200,1161,637,1798,78.4,0.354,1.483,0.848
27.05,3.29,0.37,5.48,6.67,4,41.85,47.41,6.54,4.2,700,487,1033,213,333,546,93.35,0.61,1.437,0.678
43.99,8.79,1.73,3.42,4.34,2.37,42.66,47.56,6.66,3.12,86,86,139,0,53,53,0,1,1,0.619
43.87,11.41,2.14,3.7,3.56,2.67,41.97,47.67,7.07,3.52,83,83,147,0,64,64,0,1,1,0.564
