,avg,std
萼片数,5.009090909090909,0.3452284058564347
完全开放花冠大小,3.58909090909091,0.4728588544659731
花瓣数,7.054545454545455,1.1400656961302313
最大花瓣质地,2.0272727272727273,0.36995142029436134
花柱长度,1.186363636363636,0.21777746099806944
柱头裂位,1.5454545454545454,0.6585550437293386
雌雄蕊相对高度,2.327272727272727,0.6651079916327702
叶长cm,9.120909090909091,1.4438160099399089
叶宽cm,3.522727272727274,0.7519587987577453
叶正面颜色,2.8,0.8217234071134674
叶正面隆起性,1.9454545454545455,0.7399028405887225
叶形,3.9363636363636365,0.8489310356281659
叶身形态,2.4363636363636365,0.9038883661614788
叶基形态,1.1818181818181819,0.38745980985586714
叶缘形态,1.7727272727272727,0.7621684529193797
着生状态,1.5272727272727273,0.6311354397322901
