,avg,std
萼片数,5.0,0.3713906763541037
完全开放花冠大小,3.2850000000000006,0.3093792450074493
花瓣数,6.933333333333334,0.8683449709106096
最大花瓣质地,2.033333333333333,0.18257418583505527
花柱长度,1.0933333333333335,0.13879613761229792
柱头裂位,1.3666666666666667,0.5560534167675355
雌雄蕊相对高度,2.533333333333333,0.571346463723366
叶长cm,9.453333333333335,1.302182076715672
叶宽cm,3.426666666666667,0.5588987529883691
叶正面颜色,2.7666666666666666,0.7279320417946061
叶正面隆起性,2.066666666666667,0.7396799556440673
叶形,4.266666666666667,0.6396838299494924
叶身形态,2.033333333333333,0.99942512211403
叶基形态,1.3,0.466091599699399
叶缘形态,1.4666666666666666,0.571346463723366
着生状态,1.6666666666666667,0.7111590022187595
