,avg,std
萼片数,4.95,0.22360679774997894
完全开放花冠大小,3.8400000000000007,0.43937755015356356
花瓣数,7.7,1.5927467172350909
最大花瓣质地,1.9,0.5525062514530825
花柱长度,1.205,0.10990426455975699
柱头裂位,1.85,0.7451598203705947
雌雄蕊相对高度,2.25,0.6386663736585051
叶长cm,9.315,1.5455453815128788
叶宽cm,4.145,0.5510516261992537
叶正面颜色,3.3,0.6569466853317862
叶正面隆起性,2.3,0.5712405705774793
叶形,3.5,0.6069769786668839
叶身形态,2.3,0.9787209698591859
叶基形态,1.5,0.512989176042577
叶缘形态,1.6,0.5026246899500347
着生状态,1.75,0.7163503994113789
